Rank,Reservoir_ID,Name,Latitude,Longitude,Confidence_Percent,Peak_Probability,Mean_Probability,Area_Hectares,Area_Sq_Km,Pixel_Count,SWIR_Alteration_Ratio,NDVI,Classification_Tier,Exploration_Recommendation
19,MN-RES-19,Manganese Reservoir 19 (Tier 2),21.95368,80.14635,74.5,0.7452,0.6931,0.36,0.0036,4,1.339,0.395,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
20,MN-RES-20,Manganese Reservoir 20 (Tier 2),21.84711,80.13621,74.5,0.7451,0.7037,0.72,0.0072,8,1.373,0.366,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
21,MN-RES-21,Manganese Reservoir 21 (Tier 2),21.88068,80.13846,74.1,0.7413,0.708,0.9,0.009,10,1.403,0.378,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
22,MN-RES-22,Manganese Reservoir 22 (Tier 2),21.88007,80.19549,74.0,0.7401,0.7209,0.45,0.0045,5,1.425,0.378,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
23,MN-RES-23,Manganese Reservoir 23 (Tier 2),21.86123,80.15453,73.7,0.7373,0.6934,0.36,0.0036,4,1.385,0.366,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
24,MN-RES-24,Manganese Reservoir 24 (Tier 2),21.8976,80.13903,73.2,0.7318,0.6974,0.72,0.0072,8,1.465,0.377,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
25,MN-RES-25,Manganese Reservoir 25 (Tier 2),21.85291,80.24131,73.1,0.731,0.6825,0.36,0.0036,4,1.438,0.358,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
26,MN-RES-26,Manganese Reservoir 26 (Tier 2),21.89684,80.13621,73.0,0.7303,0.6988,0.45,0.0045,5,1.44,0.371,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
27,MN-RES-27,Manganese Reservoir 27 (Tier 2),21.85877,80.21892,73.0,0.7301,0.6907,0.36,0.0036,4,1.353,0.379,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
28,MN-RES-28,Manganese Reservoir 28 (Tier 2),21.88123,80.14366,72.8,0.7284,0.7183,0.36,0.0036,4,1.401,0.383,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
29,MN-RES-29,Manganese Reservoir 29 (Tier 2),21.88797,80.18922,72.6,0.7263,0.7056,0.36,0.0036,4,1.431,0.374,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
30,MN-RES-30,Manganese Reservoir 30 (Tier 2),21.85577,80.14842,72.6,0.7259,0.6876,0.45,0.0045,5,1.394,0.376,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
31,MN-RES-31,Manganese Reservoir 31 (Tier 2),21.86424,80.14674,72.6,0.7257,0.7169,0.36,0.0036,4,1.388,0.38,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
32,MN-RES-32,Manganese Reservoir 32 (Tier 2),21.8944,80.13567,72.4,0.7243,0.6909,0.36,0.0036,4,1.434,0.381,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
33,MN-RES-33,Manganese Reservoir 33 (Tier 2),21.82652,80.24367,72.3,0.7234,0.7044,0.63,0.0063,7,1.363,0.377,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
34,MN-RES-34,Manganese Reservoir 34 (Tier 2),21.86447,80.15516,72.3,0.7227,0.6972,0.45,0.0045,5,1.365,0.365,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
35,MN-RES-35,Manganese Reservoir 35 (Tier 2),21.87323,80.1297,71.5,0.7151,0.695,0.36,0.0036,4,1.403,0.373,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
36,MN-RES-36,Manganese Reservoir 36 (Tier 2),21.86172,80.14335,71.3,0.7127,0.6859,0.36,0.0036,4,1.356,0.374,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
37,MN-RES-37,Manganese Reservoir 37 (Tier 2),21.93107,80.13843,70.6,0.7062,0.67,0.36,0.0036,4,1.433,0.375,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
38,MN-RES-38,Manganese Reservoir 38 (Tier 2),21.88203,80.19426,70.2,0.7017,0.684,0.36,0.0036,4,1.38,0.347,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
39,MN-RES-39,Manganese Reservoir 39 (Tier 2),21.89275,80.18299,70.0,0.7,0.6793,0.45,0.0045,5,1.461,0.365,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
40,MN-RES-40,Manganese Reservoir 40 (Tier 2),21.86184,80.12716,70.0,0.6997,0.685,0.36,0.0036,4,1.359,0.372,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
41,MN-RES-41,Manganese Reservoir 41 (Tier 2),21.87924,80.13916,69.9,0.6994,0.6843,0.45,0.0045,5,1.392,0.37,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
42,MN-RES-42,Manganese Reservoir 42 (Tier 2),21.85373,80.2413,68.1,0.681,0.6735,0.36,0.0036,4,1.462,0.382,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
43,MN-RES-43,Manganese Reservoir 43 (Tier 2),21.94734,80.15242,68.1,0.6805,0.6653,0.36,0.0036,4,1.466,0.382,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
